name,KH,error
1549553_R_pacman,1.355452e-10,1.286393e-10
1550599_R_pacman,1.876554,0.6606398
1550666_R_pacman,0.0001811149,4.361666e-05
1550670_A_pacman,0.1008309,0.02572149
1550670_R_pacman,0.002686694,0.001165037
1550672_R_pacman,0.005008989,0.0005766648
1550940_A_pacman,923.5236,468.2833
1550940_R_pacman,5.778713e-07,4.836027e-08
1551203_F_pacman,2.058711e-05,3.208149e-05
1551203_R_pacman,3.267355e-16,8.031604e-16
1551264_F_pacman,6.06758e-05,9.434531e-06
1551264_R_pacman,7.021928e-13,5.10551e-13
1551265_F_pacman,0.001132432,0.0002186294
1551265_R_pacman,6.53234e-13,6.297161e-13
1551267_R_pacman,0.001103832,0.0002700644
1551270_F_pacman,8.303955e-05,8.54177e-06
1551270_R_pacman,1.599791e-25,3.125968e-25
1551272_F_pacman,0.0001045215,1.116047e-05
1551272_R_pacman,2.4525e-15,1.11448e-15
1551421_F_pacman,5.330825e-05,3.6241e-06
1551421_R_pacman,1.96179e-15,1.230093e-15
1551618_IA_pacman,209770.6,325057.8
1551618_R_pacman,0.1707492,0.07231414
1551766_A_pacman,3.451713e-05,1.225058e-06
1551766_F_pacman,4.547948e-06,1.564139e-07
1551766_R_pacman,2.460261e-12,1.388493e-12
1551813_F_pacman,1.283365e-05,6.555152e-07
1551813_R_pacman,2.078382e-13,8.840244e-14
1551866_F_pacman,0.02993268,0.01158327
1551866_R_pacman,0.0005747134,0.0001675488
1551927_F_pacman,0.002512265,0.002273498
1551927_R_pacman,3.716798e-06,4.422927e-07
1552084_F_pacman,4.841911e-06,1.625909e-07
1552084_R_pacman,3.419e-14,1.757815e-14
1552959_A_pacman,732012.6,1228370.0
1552959_R_pacman,5.680041e-05,7.410445e-06
1552961_A_pacman,3204916.0,7434317.0
1552961_R_pacman,3.482178e-05,2.978253e-06
1553676_F_pacman,3.657365e-06,5.558227e-08
1553676_R_pacman,2.054476e-14,3.40562e-14
1553677_F_pacman,3.504967e-06,1.374281e-07
1553677_R_pacman,4.594304e-13,1.63349e-13
